sku,current_name,new_name,new_unit,new_pack_size,flag,current_unit,current_pack_size
STA-037,PEN KNIFE,PENKNIFE,,,check,pc,
STA-029,STABILO RUBBER GRIP,RUBBER GRIP - STABILO,,,,pc,
STA-006,SCISSOR,SCISSORS,,,spelling,pc,
STA-009,SHARPENER WITH CONTAINER,SHARPENER - WITH CONTAINER,,,,pc,
STA-052,post-it,STICKY NOTES - POST-IT,,,wording,pad,12
STA-042,TIMER,TIMER,,,,pc,
TCH-001,EXERCISE BOOK,EXERCISE BOOK,,,,book,10
TCH-002,GEOMETRY SET,GEOMETRY SET,,,,set,
TCH-006,GRAPH SHEETS PACKET,GRAPH PAPER,packet,,wording,packet,
TCH-003,PHOTO FRAME,PHOTO FRAME,,,,pc,
TCH-004,COLOR PLAY CARD,PLAY CARD - COLOURED,,,check,pc,
TCH-007,PROTRACTOR,PROTRACTOR,,,,pc,
TCH-005,TRACING PAPER (10 SHEETS PER PACKET),TRACING PAPER,packet,10,,packet,
